horizon,model,label,wape,bias,smape,skill_vs_snaive,n
1,snaive,Seasonal naive,0.1094626828104615,-0.023524382551673627,0.13078502147599025,0.0,780
1,snaive_drift,Seasonal naive + growth,0.10963067957791468,0.0025690336634864837,0.12611266852480565,-0.0015347400880361128,780
1,ets,Holt-Winters (ETS),0.07242297128853975,-0.007587441520018952,0.08475382718781783,0.33837752347123917,780
1,xgb,"XGBoost (global, direct)",0.0670697827201695,-0.012947326730060311,0.07855608350579538,0.38728175668503206,780
1,ensemble,Ensemble (ETS + XGBoost),0.0656207702681749,-0.010267384125039632,0.07657237647922878,0.400519258405172,780
3,snaive,Seasonal naive,0.1094626828104615,-0.023524382551673627,0.13078502147599025,0.0,780
3,snaive_drift,Seasonal naive + growth,0.12736099995441114,0.012833609605880269,0.1443807481621407,-0.16351067491138704,780
3,ets,Holt-Winters (ETS),0.09789918978010717,-0.00325067745884785,0.11527915423582251,0.10563867734154586,780
3,xgb,"XGBoost (global, direct)",0.09287973833123406,-0.013489498567573123,0.10968601891002469,0.15149404393770793,780
3,ensemble,Ensemble (ETS + XGBoost),0.0897890801643279,-0.008370088013210488,0.1057025202411655,0.17972885499434654,780
6,snaive,Seasonal naive,0.10966192718854463,-0.00212146070869111,0.12965627303029953,0.0,660
6,snaive_drift,Seasonal naive + growth,0.14719595262534452,0.04557188024653494,0.16057191657690728,-0.3422703430358893,660
6,ets,Holt-Winters (ETS),0.11603454997950466,0.023822442806605098,0.13027379197828018,-0.0581115338234337,660
6,xgb,"XGBoost (global, direct)",0.09787359862138119,0.011082369629823374,0.11381688502284162,0.10749700346680446,660
6,ensemble,Ensemble (ETS + XGBoost),0.09931563273326982,0.01745240621821424,0.11339475605472346,0.09434718794870489,660
12,snaive,Seasonal naive,0.10820539336909737,0.009283304186208015,0.1264383059958051,0.0,480
12,snaive_drift,Seasonal naive + growth,0.1626814731157521,0.07398299851051007,0.16863057486447317,-0.5034506880893856,480
12,ets,Holt-Winters (ETS),0.14518197228298477,0.05348623778423203,0.15793708264208514,-0.34172583974402526,480
12,xgb,"XGBoost (global, direct)",0.10778294416799206,0.04104467980512164,0.12230180263223069,0.003904141817259621,480
12,ensemble,Ensemble (ETS + XGBoost),0.12132734168682566,0.04726545879467684,0.13394314406776917,-0.12126889343646896,480
