date,market,pax,a,b,is_imputed,is_covid,pax_a_to_b,pax_b_to_a
2015-04-01,HYDERABAD – KOCHI,24676.0,HYDERABAD,KOCHI,False,False,12952.0,11724.0
2015-04-01,BENGALURU – JAIPUR,40068.0,BENGALURU,JAIPUR,False,False,22084.0,17984.0
2015-04-01,HYDERABAD – PUNE,18996.0,HYDERABAD,PUNE,False,False,10013.0,8983.0
2015-04-01,BENGALURU – THIRUVANANTHAPURAM,24238.0,BENGALURU,THIRUVANANTHAPURAM,False,False,12087.0,12151.0
2015-04-01,DELHI – UDAIPUR,15639.0,DELHI,UDAIPUR,False,False,7663.0,7976.0
2015-04-01,DELHI – JAMMU,50741.0,DELHI,JAMMU,False,False,27750.0,22991.0
2015-04-01,CHENNAI – KOCHI,36529.0,CHENNAI,KOCHI,False,False,18633.0,17896.0
2015-04-01,HYDERABAD – TIRUPATI,21031.0,HYDERABAD,TIRUPATI,False,False,10866.0,10165.0
2015-05-01,DELHI – MUMBAI,535644.0,DELHI,MUMBAI,False,False,270727.0,264917.0
2015-05-01,BENGALURU – DELHI,258444.0,BENGALURU,DELHI,False,False,118191.0,140253.0
2015-05-01,BENGALURU – MUMBAI,282705.0,BENGALURU,MUMBAI,False,False,137305.0,145400.0
2015-05-01,DELHI – HYDERABAD,158866.0,DELHI,HYDERABAD,False,False,80779.0,78087.0
2015-05-01,DELHI – KOLKATA,168150.0,DELHI,KOLKATA,False,False,88056.0,80094.0
2015-05-01,DELHI – PUNE,150810.0,DELHI,PUNE,False,False,75884.0,74926.0
2015-05-01,AHMEDABAD – DELHI,115583.0,AHMEDABAD,DELHI,False,False,59949.0,55634.0
2015-05-01,CHENNAI – MUMBAI,168061.0,CHENNAI,MUMBAI,False,False,81427.0,86634.0
2015-05-01,KOLKATA – MUMBAI,141259.0,KOLKATA,MUMBAI,False,False,69072.0,72187.0
2015-05-01,HYDERABAD – MUMBAI,160665.0,HYDERABAD,MUMBAI,False,False,79627.0,81038.0
2015-05-01,CHENNAI – DELHI,169714.0,CHENNAI,DELHI,False,False,80141.0,89573.0
2015-05-01,BENGALURU – HYDERABAD,93576.0,BENGALURU,HYDERABAD,False,False,44472.0,49104.0
2015-05-01,BENGALURU – KOLKATA,73824.0,BENGALURU,KOLKATA,False,False,35652.0,38172.0
2015-05-01,AHMEDABAD – MUMBAI,185979.0,AHMEDABAD,MUMBAI,False,False,97812.0,88167.0
2015-05-01,DELHI – SRINAGAR,139852.0,DELHI,SRINAGAR,False,False,69023.0,70829.0
2015-05-01,BENGALURU – PUNE,98013.0,BENGALURU,PUNE,False,False,47382.0,50631.0
2015-05-01,DELHI – GUWAHATI,61668.0,DELHI,GUWAHATI,False,False,33126.0,28542.0
2015-05-01,DELHI – PATNA,85983.0,DELHI,PATNA,False,False,45567.0,40416.0
2015-05-01,BENGALURU – CHENNAI,77772.0,BENGALURU,CHENNAI,False,False,38020.0,39752.0
2015-05-01,DELHI – LUCKNOW,113975.0,DELHI,LUCKNOW,False,False,60568.0,53407.0
2015-05-01,CHENNAI – HYDERABAD,85572.0,CHENNAI,HYDERABAD,False,False,41778.0,43794.0
2015-05-01,BENGALURU – KOCHI,55660.0,BENGALURU,KOCHI,False,False,28309.0,27351.0
2015-05-01,KOCHI – MUMBAI,94761.0,KOCHI,MUMBAI,False,False,44199.0,50562.0
2015-05-01,BAGDOGRA – DELHI,51869.0,BAGDOGRA,DELHI,False,False,26710.0,25159.0
2015-05-01,BHUBANESWAR – DELHI,47073.0,BHUBANESWAR,DELHI,False,False,23026.0,24047.0
2015-05-01,AHMEDABAD – BENGALURU,28958.0,AHMEDABAD,BENGALURU,False,False,15846.0,13112.0
2015-05-01,JAIPUR – MUMBAI,61087.0,JAIPUR,MUMBAI,False,False,32722.0,28365.0
2015-05-01,CHENNAI – KOLKATA,54591.0,CHENNAI,KOLKATA,False,False,27124.0,27467.0
2015-05-01,DELHI – INDORE,40116.0,DELHI,INDORE,False,False,19250.0,20866.0
2015-05-01,AMRITSAR – DELHI,52038.0,AMRITSAR,DELHI,False,False,29954.0,22084.0
2015-05-01,HYDERABAD – VISAKHAPATNAM,58071.0,HYDERABAD,VISAKHAPATNAM,False,False,28926.0,29145.0
2015-05-01,HYDERABAD – KOLKATA,33912.0,HYDERABAD,KOLKATA,False,False,16845.0,17067.0
2015-05-01,DELHI – VARANASI,55644.0,DELHI,VARANASI,False,False,29132.0,26512.0
2015-05-01,GUWAHATI – KOLKATA,66142.0,GUWAHATI,KOLKATA,False,False,32291.0,33851.0
2015-05-01,LUCKNOW – MUMBAI,58998.0,LUCKNOW,MUMBAI,False,False,28173.0,30825.0
2015-05-01,DELHI – KOCHI,39819.0,DELHI,KOCHI,False,False,22701.0,17118.0
2015-05-01,MUMBAI – VARANASI,21937.0,MUMBAI,VARANASI,False,False,11564.0,10373.0
2015-05-01,DELHI – RANCHI,33167.0,DELHI,RANCHI,False,False,16805.0,16362.0
2015-05-01,CHANDIGARH – DELHI,37950.0,CHANDIGARH,DELHI,False,False,19578.0,18372.0
2015-05-01,CHENNAI – COIMBATORE,57540.0,CHENNAI,COIMBATORE,False,False,29375.0,28165.0
2015-05-01,DELHI – RAIPUR,33304.0,DELHI,RAIPUR,False,False,16396.0,16908.0
2015-05-01,AGARTALA – KOLKATA,50222.0,AGARTALA,KOLKATA,False,False,26034.0,24188.0
2015-05-01,BENGALURU – MANGALURU,23233.0,BENGALURU,MANGALURU,False,False,11028.0,12205.0
2015-05-01,DELHI – LEH,37657.0,DELHI,LEH,False,False,19635.0,18022.0
2015-05-01,BENGALURU – BHUBANESWAR,14862.0,BENGALURU,BHUBANESWAR,False,False,6993.0,7869.0
2015-05-01,BENGALURU – VARANASI,5149.0,BENGALURU,VARANASI,False,False,2486.0,2663.0
2015-05-01,BENGALURU – LUCKNOW,14171.0,BENGALURU,LUCKNOW,False,False,6514.0,7657.0
2015-05-01,CHENNAI – PUNE,61729.0,CHENNAI,PUNE,False,False,29606.0,32123.0
2015-05-01,MUMBAI – NAGPUR,56377.0,MUMBAI,NAGPUR,False,False,27213.0,29164.0
2015-05-01,INDORE – MUMBAI,62798.0,INDORE,MUMBAI,False,False,33713.0,29085.0
